MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS,STEM,ABM,HUMSS,GAS,TVL,Arts and Design,Sports,OFFERINGS COUNT,MUNICIPALITY COUNT
Parañaque City,407032,Manresa School,STEM|GAS,True,False,False,True,False,False,False,2,
Parañaque City,407041,Olivarez College - Parañaque,HUMSS|STEM|GAS|ABM|Sports|TVL,True,True,True,True,True,False,True,6,
Parañaque City,407046,Ramon Pascual Institute,ABM|STEM|GAS,True,True,False,True,False,False,False,3,
Parañaque City,407047,Regina Maria Montessori,GAS,False,False,False,True,False,False,False,1,
Parañaque City,407048,Regis-Grace Montessori School Corp.,GAS|ABM,False,True,False,True,False,False,False,2,
Parañaque City,407052,St. Andrew's School,GAS|STEM|ABM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Parañaque City,407055,Saint Francis Academy,ABM,False,True,False,False,False,False,False,1,
Parañaque City,407059,St. Paul College of Parañaque,STEM|ABM|HUMSS|Arts and Design|TVL,True,True,True,False,True,True,False,5,
Parañaque City,407068,The Master's Academy,GAS,False,False,False,True,False,False,False,1,
Parañaque City,407070,United Christian Academy,TVL,False,False,False,False,True,False,False,1,
Parañaque City,407072,Veritas Parochial School,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Parañaque City,407074,Ville St. John Academy,ABM|GAS|STEM,True,True,False,True,False,False,False,3,
Parañaque City,407673,Marymount Academy - Extension,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Parañaque City,486041,"NBCA International School, Inc.",ABM|GAS,False,True,False,True,False,False,False,2,
Parañaque City,486043,Brainshire Science School,ABM|GAS,False,True,False,True,False,False,False,2,
Parañaque City,486045,Philippine Christian School of Tomorrow,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Parañaque City,486048,Create and Learning Paths School,GAS,False,False,False,True,False,False,False,1,
Parañaque City,486052,ICLA Christian Academy,GAS|Arts and Design,False,False,False,True,False,True,False,2,
Parañaque City,486071,Singapore School Manila,ABM|Arts and Design,False,True,False,False,False,True,False,2,
Parañaque City,486075,"APEC Schools-Sta. Rita, Sucat",GAS|ABM,False,True,False,True,False,False,False,2,
Pasay City,401412,Manila Adventist College,STEM|ABM|HUMSS,True,True,True,False,False,False,False,3,
Pasay City,401414,Manila Tytana Colleges,GAS|ABM|STEM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Pasay City,401421,Metro Business College,ABM|HUMSS,False,True,True,False,False,False,False,2,
Pasay City,401429,"San Juan de Dios Foundation, Inc",ABM|STEM|HUMSS |GAS|TVL,True,True,True,True,True,False,False,5,
Pasay City,401430,STI Pasay,GAS|HUMSS|TVL,False,False,True,True,True,False,False,3,
Pasay City,406519,Datamex Institute of Computer Technology-Pasay City,TVL,False,False,False,False,True,False,False,1,
Pasay City,406528,MFI Foundation Inc.-Pasay,TVL,False,False,False,False,True,False,False,1,
Pasay City,406647,Arellano University-Jose Abad Santos Campus,GAS|ABM|HUMSS|STEM|TVL,True,True,True,True,True,False,False,5,
Pasay City,406648,"Arellano University, Apolinario Mabini Campus",STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Pasay City,406652,Southeastern College,ABM,False,True,False,False,False,False,False,1,
Pasay City,406653,Sta. Clara Parish School,ABM|STEM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Pasay City,406654,"St. Mary's Academy, Pasay City",ABM|STEM|HUMSS|GAS|Arts and Design|Sports,True,True,True,True,False,True,True,6,
Pasay City,406663,Blessed Elena Academy,ABM|GAS|HUMSS,False,True,True,True,False,False,False,3,
Pasay City,406664,"Gideon Academy, Inc.",ABM,False,True,False,False,False,False,False,1,
Pasay City,406666,Philippine Law School Lacson College,ABM,False,True,False,False,False,False,False,1,
Pasay City,406669,Philippine Pasay Chung Hua Academy,ABM|HUMSS,False,True,True,False,False,False,False,2,
Pasay City,407456,Montessori Professional College- Pasay,GAS|TVL,False,False,False,True,True,False,False,2,
Pasay City,407601,Integrated School of Science,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Pasay City,483013,Wesleyan College of Manila,ABM|GAS,False,True,False,True,False,False,False,2,
Pasay City,483030,Air Link International Aviation College,GAS|STEM|ABM|HUMSS|TVL,True,True,True,True,True,False,False,5,
